"bedrijf","bezichtingsduur_select","bookingLink","districtType_select","einddatum_date","eindtijd","eindtijd_time","eventType_select","id","image","kavelfunctie_select","kavelnummer_select","kennisprogramma","latlonlocatie_select","linkType_select","naam_de","naam_en","naam_nl","omschrijvingKort_de","omschrijvingKort_en","omschrijvingKort_nl","omschrijving_de","omschrijving_en","omschrijving_nl","opmerkingen","publiceerbaar","recordType_select","sdgType","semCode","startdatum_date","starttijd_time","tags","themaFloriade","zakelijk"
,,,"hortus-avenue","2022-04-14","17:30",,"Congres","ngwMURErYt7AZqWeKsMB",,,"145",,"{""cluster"":""145/146/147"",""locatie"":""145/146/147"",""lon"":""52.35464128737631739"",""lat"":""5.22799512599341387""}",,,,"Lightchallenge Festival",,,"Lightchallenge Festival",,,"Lightchallenge Festival",,,"event",,,"2022-04-14","10:00",,"[{""themaFloriade_select"":""engergizing"",""themaFloriadeRating"":5}]",
,,"",,"2022-06-14","19:00",,"",,,,"",,,"","","","Vergadering",,"","",,"","Vergadering",,,"event",,"1990","2022-06-14","09:00",,,"true"
,,,,,,,,"AkXP8jCOar2MiQs32V0J",,"horeca","8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"Mammoth's",,,"Hutten Catering",,,,,,"locatie",,,,,"[""Eten & Drinken""]",,
,,,,,,,,"mQIPmrBUXsE0pRXhXiaK",,"horeca","152",,"{""cluster"":""151/152/153"",""locatie"":""151/152/153"",""lon"":""52.3541706103577269"",""lat"":""5.2312103614200165""}",,"Orangerie","Orangerie","Orangerie",,,,,,,,,"locatie",,,,,,,
"[{""created"":""Thu Feb 03 2022 09:31:11 GMT+0100 (Central European Standard Time)"",""bedrijf"":""Rabobank"",""bedrijfIndeling_select"":null}]",,,"hortus-avenue","2022-04-20","19:00",,,"8otoqOFlr7XC9La6OYHN",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"Rabobank congres",,,,,,,,,"event",,,"2022-04-20","09:00",,,
"[{""created"":""Thu Feb 03 2022 12:19:51 GMT+0100 (Central European Standard Time)"",""bedrijf"":""Provincie Flevoland"",""bedrijfIndeling_select"":null}]",,,"hortus-avenue","2022-06-17","07:00",,,"XifQGzlrEuH7YsBvbWBq",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"Natuurtop",,,,,,,,,"event",,,"2022-06-17","21:00",,,
,"01:00",,,,,,,"dpUYbMa47mfBGXsVBAim",,"nationaal","89",,"{""cluster"":""89"",""locatie"":""89"",""lon"":""52.35626912430014102"",""lat"":""5.22760226618160395""}",,"Mycelium Parc","Mycelium Parc","Mycelium Parc",,"Mycelia and hyphae are of essential importance to soil, as organic material and building blocks of ecosystems. Mycelium Parc exhibits experimental installations of biodegradable objects in urban public spaces.","Mycelia en schimmeldraden zijn van essentieel belang in de bodem, als organisch materiaal en bouwstenen van ecosystemen. Mycelium Parc toont experimentele installaties van biologisch afbreekbare objecten in de stedelijke openbare ruimte.",,,,,,"locatie",,,,,"[""Architectuur"",""Educatie"",""Innovatief"",""Workshops""]","[{""themaFloriade_select"":""greening"",""themaFloriadeRating"":5}]",
,,"",,"2022-05-13","19:00",,"",,,,"",,,"","","","VPRC bijeenkomst",,"","",,"","VPRC bijeenkomst",,,"event",,"1650","2022-05-13","09:00",,,"true"
,,,,,,,,"TcyOBvG9YnHUDlwtxCnb",,"horeca","11",,"{""cluster"":""11"",""locatie"":""11"",""lon"":""52.35995196283624153"",""lat"":""5.22471982216052577""}",,"The Dutch","The Dutch","The Dutch",,,,,,,,,"locatie",,,,,,,
,,,,,,,,"lmAIZ1wTIzQxQHWaExZk",,"horeca","11",,"{""cluster"":""11"",""locatie"":""11"",""lon"":""52.35995196283624153"",""lat"":""5.22471982216052577""}",,,,"Dutch! Cuisine",,,"Fulle table service, sterrenrestaurant, 24 Patron Cuisiniers
",,,,,,"locatie",,,,,"[""Eten & Drinken""]",,
,,,"urban-district",,,,,"Wpvs4KhPEfHjlqxufWvl","italie-future-roots-1646398792721","internationaal","70",,"{""cluster"":""70"",""locatie"":""70"",""lon"":""52.35686119966431562"",""lat"":""5.227288690399849""}",,"Italien - FUTURE ROOTS","Italy - FUTURE ROOTS","Italie - FUTURE ROOTS","Italien als Land ist aufgrund seiner zentralen geografischen Lage im Mittelmeer und seiner Orographie zutiefst geprägt von einer starken historischen Tradition sowie einer großen Vielfalt an Biodiversität, Landschaften und Kulturen.","Italy, as a country, is deeply characterized by a strong historical tradition, as well as a great variety of biodiversity, landscapes and cultures, due to its central geographical position in the Mediterranean Sea and to its orography. ","Italië wordt als land sterk gekenmerkt door een sterke historische traditie, evenals een grote verscheidenheid aan biodiversiteit, landschappen en culturen, vanwege zijn centrale geografische ligging in de Middellandse Zee en zijn orografie. ","Im italienischen Pavillon möchten wir hervorheben, wie die Maßnahmen, die wir heute ergreifen, die Grundlage für die kommenden Generationen bilden: die Wurzeln der europäischen „nächsten Generation“. Bei der Erkundung des italienischen Pavillons erleben die Besucher einen zeitgenössischen mediterranen Garten, in dem die verwendeten Arten den Wasser- und Wartungsbedarf reduzieren. Ein angenehmer Garten, in dem die Düfte und Farben der Blüte mit den Aromen der essbaren Gartenbauarten kombiniert werden.","In the Italian Pavilion, we intend to highlight how the actions we are taking today will be the basis for the generations to come: the roots of the European 'next generation'. When exploring the Italian Pavilion, visitors will experience a contemporary Mediterranean garden, where the species used will reduce water and maintenance requirements. An enjoyable garden where the scents and colours of the blossoming will be combined with the flavors of the edible horticultural species.","Italië staat als land bekend om de sterke historische traditie en de grote variëteit wat betreft biodiversiteit, landschappen en culturen, met dank aan de centrale geografische ligging aan de Middellandse Zee en door het reliëf van het landschap. We gaan richting een progressief GROWING GREEN CITIES, om zo steden te krijgen die groener, gezonder, veiliger, leefbaarder en aantrekkelijker zijn, en die een eerste echte stap vormen op weg naar verandering.",,,"locatie",,,,,,,
"[{""bedrijf"":""Royal Flora Holland"",""created"":""Thu Feb 03 2022 10:18:57 GMT+0100 (Central European Standard Time)"",""bedrijfIndeling_select"":null}]",,,"hortus-avenue","2022-05-25","19:00",,,"OeohLpCKpOzbpNJpujCN",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"Productbijeenkomst Groene Kamerplanten",,,,,,,,,"event",,,"2022-05-25","09:00",,,
,,,"urban-district",,,,,"VXYYoEjQ7Zy1sVabBlvl","frankrijk-pavillon-francophone-1646398693573","internationaal","68",,"{""cluster"":""68"",""locatie"":""68"",""lon"":""52.35704937310088525"",""lat"":""5.22624524217749897""}",,"Frankreich - Pavillon der Frankophonen","France - Pavillon Francophone","Frankrijk - Pavillon Francophone",,"At a time rich in changes and marked by the need for a return to basics, the creed of Francophone Pavilion is to rebuild a symbiosis between human and nature by relying on ancestral know-how and innovations in eco-construction and landscape. ","In een tijd vol veranderingen en gekenmerkt door de noodzaak van een terugkeer naar de basis, is het credo van het Franstalige paviljoen om een ​​symbiose tussen mens en natuur te herstellen door te vertrouwen op voorouderlijke knowhow in eco-constructie en landschap.","In einer Zeit, die reich an Veränderungen ist und von der Notwendigkeit einer Rückkehr zu den Grundlagen geprägt ist, besteht das Credo des frankophonen Pavillons darin, eine Symbiose zwischen Mensch und Natur wiederherzustellen, indem er sich auf das Know-how der Vorfahren und Innovationen in den Bereichen Ökobau und Landschaft stützt.","At a time rich in changes and marked by the need for a return to basics, the creed of Francophone Pavilion is to rebuild a symbiosis between human and nature by relying on ancestral know-how and innovations in eco-construction and landscape. ","In deze tijd van vele veranderingen en een verlangen naar een terugkeer naar de basis, zoekt het Franstalige paviljoen naar een vernieuwde symbiose tussen mens en natuur, door te bouwen op voorouderlijke kennis en innovaties op het gebied van eco-bouw en landschap. ",,,"locatie",,,,,,,
,,"",,"2022-06-28","19:00",,"",,,,"",,,"","","","Optie Heras Mobile",,"","",,"","Optie Heras Mobile",,,"event",,"1534","2022-06-28","09:00",,,"true"
,,,"hortus-avenue","2022-10-04","07:00",,,"30QmMz3b4wzwJx1uEQOC",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"Food Forward Innovation",,,,,,,,,"event",,,"2022-10-04","21:00",,,
,,,,,,,,"iM2C1bGx58WUvOY4oohH",,"horeca","117",,"{""cluster"":""117/118"",""locatie"":""117/118"",""lon"":""52.35615422072640257"",""lat"":""5.22289419249792797""}",,"Koffie-thee","Koffie-thee","Koffie-thee",,,,,,,,,"locatie",,,,,"[""Eten & Drinken""]",,
"[{""bedrijf"":""Floriade Expo 2022"",""created"":""Thu Feb 03 2022 10:14:56 GMT+0100 (Central European Standard Time)"",""bedrijfIndeling_select"":null}]",,,"hortus-avenue","2022-05-20","19:00",,,"iwgw3yaeQIoU4fF4W0nz",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"Week van burgerschap",,,,,,,,,"event",,,"2022-05-20","09:00",,,
,"00:30",,"green-island",,,,,"GdDaOrmlRWTAPysxtjZ2",,"nationaal","3",,"{""cluster"":""3/4"",""locatie"":""3/4"",""lon"":""52.36031189276104669"",""lat"":""5.22602688479550714""}",,"Oosterwold","Oosterwold","Oosterwold",,"The World of Urban Farming. Oosterwold puts Feeding the City into practice as the largest urban agricultural project in the world, run for and by residents. Oosterwold is a unique area development: sustainable and circular.","The World of Urban Farming. Als grootste stadslandbouwproject ter wereld voor en door bewoners brengt Oosterwold Feeding the City in praktijk. Oosterwold is een unieke gebiedsontwikkeling: duurzaam en circulair.",,,"",,,"locatie","[{""created"":""Wed Mar 09 2022 13:28:06 GMT+0100 (CET)"",""sdgType_select"":""sdg-2""}]",,,,"[""Tuin""]","[{""themaFloriade_select"":""greening"",""themaFloriadeRating"":3},{""themaFloriade_select"":""feeding"",""themaFloriadeRating"":5}]",
,,"",,"2022-04-22","19:00",,"",,,,"",,,"","","","Lunch",,"","",,"","Lunch",,,"event",,"1868","2022-04-22","09:00",,,"true"
"[{""created"":""Thu Feb 03 2022 09:40:00 GMT+0100 (Central European Standard Time)"",""bedrijf"":""Floriade Expo 2022"",""bedrijfIndeling_select"":null}]",,,"hortus-avenue","2022-04-29","07:00",,,"4B3EPAg8rTomJCIa6DQP",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"OPTIE Ronald Talen ‘Medicinale Cannabis in Nederland’",,,,,,,,,"event",,,"2022-04-28","09:00",,,
,"00:30",,,,,,,"O4VIEfgjb9CAm2tHtO0S",,"nationaal",,,,,"Gemeente Amsterdam en gemeente Almere (Utopia schooltuin)","Gemeente Amsterdam en gemeente Almere (Utopia schooltuin)","Gemeente Amsterdam en gemeente Almere (Utopia schooltuin)",,"Utopia School Garden, Primary school pupils from Amsterdam and Almere receive weekly nature and food education here. Planting, sowing and harvesting. With their own garden, children learn all about food and health and the focus is on fun, experience, and doing things themselves.","Utopia Schooltuin, Basisschoolleerlingen uit Amsterdam en Almere krijgen hier wekelijks natuur- en voedseleducatie. Planten, zaaien en oogsten. Met een eigen tuintje leren kinderen alles over voedsel en gezondheid en staat plezier, beleving en zelf doen centraal.",,,,,,"locatie",,,,,,,
,,,"hortus-avenue","2022-06-22","07:00",,,"FukiaZblYrrsZzyxMmgE",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"Eurocities working Group Food",,,,,,,,,"event",,,"2022-06-22","21:00",,,
,,,"urban-district",,,,,"fTipSaj1hVae8s1pWfZf",,"internationaal","88",,"{""cluster"":""88"",""locatie"":""88"",""lon"":""52.35636547433181676"",""lat"":""5.22706712982114929""}",,,"United Arab Emirates Salt Water Cities","United Arab Emirates Salt Water Cities",,"With continued, relentless urbanisation, there is no other option than to look for ways of keeping our cities safe, healthy and attractive – to find a better balance between ‘grey’ and ‘green’.",,,,,,,"locatie",,,,,,,
,,,"green-island",,,,,"bK9n5Ns9MSpS1wkatr6D",,"internationaal","79",,"{""cluster"":""79"",""locatie"":""79"",""lon"":""52.35594462357384771"",""lat"":""5.23237330316667038""}",,,,"Lisinia",,,,,,,,,"locatie",,,,,,,
,,,"hortus-avenue","2022-09-28","07:00",,,"rwHsQqIGtHEH8WNpVIDW",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"Productbijeenkomst : Kamer/tuinplanten",,,,,,,,,"event",,,"2022-09-28","21:00",,,
,,,,,,,,"qHOgEEVgSBHnwmjpGtBV",,"horeca","8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"The Rangers Shelter Restaurant",,,"Fast Service - cateraar Hutten",,,"",,,"locatie",,,,,"[""Eten & Drinken""]",,
"[{""created"":""Thu Feb 03 2022 14:23:21 GMT+0100 (Central European Standard Time)"",""bedrijf"":""Floriade Expo 2022"",""bedrijfIndeling_select"":null}]",,,"hortus-avenue","2022-10-07","07:00",,,"y2A6MaOZ5l0wzlk4WKIh",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"Steering Committee",,,,,,,,,"event",,,"2022-10-07","21:00",,,
,,,"hortus-avenue","2022-10-05","07:00",,,"yuK8IxRTFPnKO1y68j5X",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"Productbijeenkomst FPC Kalanchoë",,,,,,,,,"event",,,"2022-10-05","21:00",,,
,,,"green-island",,,,,"qbTeOteZGPQ0DFNFoTIq",,"internationaal","76",,"{""cluster"":""76"",""locatie"":""76"",""lon"":""52.3562701073879424"",""lat"":""5.23109377682898025""}",,"Griechenland - AENAOS Promoting Biodiversity ","Greece - AENAOS Promoting Biodiversity ","Griekenland - AENAOS Promoting Biodiversity ",,,,,"Plants staring life in small scale arid environments, with sun protection, permeable paving grid and nature-based solutions. Protection, conservation and utilization of genetic resources through responsible research, innovation and education can promote sustainability, longevity and well-being.","Planten die kleinschalig kunnen worden gekweekt op droge plaatsen, dankzij zonbescherming, waterdoorlatende bestrating en door de natuur geïnspireerde oplossingen. Natuurbescherming, natuurbehoud en het inzetten van genetische resources door middel van verantwoordelijk onderzoek, innovatie en educatie kunnen duurzaamheid, een lange levensduur en welzijn stimuleren.",,,"locatie",,,,,,,
,,,"hortus-avenue","2022-09-06","07:00",,,"9Va1PRuXlYQ4Uep5fDav",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"Bezoek Floriade Expo 2022",,,,,,,,,"event",,,"2022-09-06","21:00",,,
,,,"urban-district",,,,,"Q8PJ09RUW6Bc9DSvpBtr",,"internationaal","102",,"{""cluster"":""102"",""locatie"":""102"",""lon"":""52.35620569265930868"",""lat"":""5.22522957499517116""}",,,"Turkey","Turkije",,,,,,,,,"locatie",,,,,,,
"[{""bedrijf"":""Aeres Hogeschool"",""created"":""Tue Jan 18 2022 09:11:34 GMT+0100 (Midden-Europese standaardtijd)"",""bedrijfType_select"":""floriade"",""bedrijfIndeling_select"":null}]",,"https://forms.office.com/pages/responsepage.aspx?id=Su12uFzFF0a9V_8M7vzpoxsB_B5nwKVIi_dcoBdwx0VURU5OTklMUFo4RVhCR044QlQwSTFNNlhPSC4u","urban-district","2022-02-04","18:00",,"Workshop","ja7vc4N1hsjmGltdFE6j",,,"98","[{""kennisprogrammaType_select"":""hoofd"",""created"":""Tue Jan 18 2022 09:12:09 GMT+0100 (Midden-Europese standaardtijd)"",""kennisprogramma_select"":""urban-food-strategy-and-system-transition""},{""kennisprogrammaType_select"":""hoofd"",""created"":""Tue Jan 18 2022 09:12:13 GMT+0100 (Midden-Europese standaardtijd)"",""kennisprogramma_select"":""green-and-blue-urban-climate-adaption""},{""kennisprogrammaType_select"":""hoofd"",""created"":""Tue Jan 18 2022 09:12:16 GMT+0100 (Midden-Europese standaardtijd)"",""kennisprogramma_select"":""regional-acceleration-of-biobased-building""},{""kennisprogrammaType_select"":""hoofd"",""created"":""Tue Jan 18 2022 09:12:19 GMT+0100 (Midden-Europese standaardtijd)"",""kennisprogramma_select"":""circular-hightech-greenhouse-development""},{""kennisprogrammaType_select"":""hoofd"",""created"":""Tue Jan 18 2022 09:12:22 GMT+0100 (Midden-Europese standaardtijd)"",""kennisprogramma_select"":""grow-your-green-smart-city-development-digital""}]","{""cluster"":""98"",""locatie"":""98"",""lon"":""52.35658602896447888"",""lat"":""5.22311681006866557""}","booking",,,"Floriade WinterSchool",,,"Floriade WinterSchool",,,"Floriade WinterSchool","[{""created"":""Tue Jan 18 2022 09:11:28 GMT+0100 (Midden-Europese standaardtijd)"",""opmerking"":""FKP ism Aeres Hogeschool & Floriade Academy""}]",,"event","[{""created"":""Tue Jan 18 2022 09:12:38 GMT+0100 (Midden-Europese standaardtijd)"",""sdgType_select"":""sdg-11""}]",,"2022-01-31","09:00","[""Workshops""]","[{""themaFloriade_select"":""greening"",""themaFloriadeRating"":5},{""themaFloriade_select"":""feeding"",""themaFloriadeRating"":5},{""themaFloriade_select"":""healthying"",""themaFloriadeRating"":5},{""themaFloriade_select"":""engergizing"",""themaFloriadeRating"":5}]",
"[{""created"":""Mon Mar 07 2022 23:01:45 GMT+0100 (Midden-Europese standaardtijd)"",""bedrijf"":""Next Nature"",""bedrijfType_select"":""subdeelnemer"",""bedrijfIndeling_select"":null}]","01:00",,"urban-district",,,,,"Ljw2Cmol38eD0MAPo3kE","dutch-innovation-experience-1646690483709","nationaal","83",,"{""cluster"":""83"",""locatie"":""83"",""lon"":""52.35683396007751611"",""lat"":""5.22442123782136125""}",,,,"Dutch Innovation Experience",,"The Natural Pavilion and the indoor 'Nature Loves Technology' exhibition provide excellent examples of how we can design nature-inclusive living and working conditions. The building is equipped with the most sustainable innovations.","The Natural Pavilion en de binnententoonstelling 'Nature Loves Technology' toont hoe we natuurinclusief wonen, leven en werken kunnen vormgeven. Het gebouw is voorzien van de meest duurzame innovaties.",,,,,,"locatie",,,,,"[""Educatie"",""Architectuur"",""Innovatief""]","[{""themaFloriade_select"":""greening"",""themaFloriadeRating"":5}]",
"[{""bedrijf"":""Greenports Nederland"",""created"":""Thu Feb 03 2022 14:20:25 GMT+0100 (Central European Standard Time)"",""bedrijfIndeling_select"":null}]",,,"hortus-avenue","2022-10-06","07:00",,,"s452Nnj2j5oWJEjFI32U",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"Nationaal Tuinbouwcongres 2022",,,,,,,,,"event",,,"2022-10-06","21:00",,,
,"01:00","https://floriade.com/nl/op-de-expo/nationale-paviljoens/almeerse-kerken/","green-island",,,,,"lxR5sllZ8vlisZ3RRRJL","almeerse-kerken-1642418542961","nationaal","27",,"{""cluster"":""27/38"",""locatie"":""27/38"",""lon"":""52.35815498791399847"",""lat"":""5.22916147286923305""}","info","Fruitful City","Fruitful City","Fruitful City",,"Biblical inspiration for a sustainable society. Come for a walk, experience nature and Gods creation. Come and see the 12 works of art or experience the labyrinth. Search for your core values for the ideal world on a green and habitable earth.","Bijbelse inspiratie voor een duurzame samenleving. Ervaar de natuur en Gods schepping bij dit paviljoen. Bekijk de 12 kunstwerken en de duurzame Tiny Church of ontdek het labyrint. Ga op zoek naar jouw kernwaarden voor de ideale wereld!",,,,,,"locatie","[{""created"":""Wed Mar 09 2022 13:52:54 GMT+0100 (CET)"",""sdgType_select"":""sdg-3""},{""created"":""Wed Mar 09 2022 13:53:11 GMT+0100 (CET)"",""sdgType_select"":""sdg-7""},{""created"":""Wed Mar 09 2022 13:53:12 GMT+0100 (CET)"",""sdgType_select"":""sdg-16""}]",,,,"[""Architectuur"",""Tuin"",""Cultural discovery""]","[{""themaFloriade_select"":""healthying"",""themaFloriadeRating"":5}]",
,,"",,"2022-09-29","19:00",,"",,,,"",,,"","","","Perennial Power (50)",,"","",,"","Perennial Power (50)",,,"event",,"563","2022-09-29","09:00",,,"true"
